"id","w2_1_30"
79,45
80,45
81,45
82,44.5
83,44
84,44
85,44
86,44
814,43
815,43.6666666666667
816,44.3333333333333
817,44.75
818,45
819,44.5
820,44
821,44
822,43.75
823,43.5
1549,43
1550,43
1551,43
1552,43.5
1553,44
1554,44.25
1555,44.5
1556,44
1557,43.75
1558,44
1559,43.75
1560,43.5
2285,43
2286,42.6666666666667
2287,42.75
2288,43
2289,43.1666666666667
2290,43.75
2291,44
2292,43.75
2293,43.5
2294,43.5
2295,43.75
2296,44
2297,44
3020,42
3021,42
3022,42.6666666666667
3023,42.75
3024,42.75
3025,42.75
3026,42.8333333333333
3027,43.25
3028,43.5
3029,43.25
3030,43.5
3031,43.5
3032,43.5
3033,44
3034,44
3755,42
3756,42
3757,41.8
3758,41.8333333333333
3759,42.1666666666667
3760,42.5
3761,42.8333333333333
3762,43
3763,43
3764,43
3765,43
3766,43
3767,43.5
3768,43.6666666666667
3769,43.5
3770,43.8333333333333
3771,44
4492,42
4493,42
4494,41.75
4495,41.75
4496,42
4497,42
4498,42.5
4499,43.25
4500,43.3333333333333
4501,43
4502,43
4503,43
4504,43
4505,43.5
4506,44
4507,44
4508,44
5228,42
5229,42
5230,42
5231,41.5
5232,41.25
5233,41.75
5234,42
5235,42.25
5236,42.5
5237,43
5238,42.75
5239,42.75
5240,43
5241,42.75
5242,43
5243,43.75
5244,44
5245,44
5965,41.5
5966,41.75
5967,42
5968,41.5
5969,41
5970,41.5
5971,42
5972,42.25
5973,42.25
5974,42.6666666666667
5975,42.5
5976,42.5
5977,43
5978,43
5979,43.25
5980,43.5
5981,43.5
5982,43.5
6702,41
6703,41.5
6704,42
6705,41.5
6706,41
6707,41.25
6708,41.75
6709,42.25
6710,42.25
6711,42.1666666666667
6712,42
6713,42.25
6714,42.75
6715,43
6716,43.5
6717,43.5
6718,43
6719,43
7439,41
7440,41.25
7441,41.75
7442,41.5
7443,41
7444,41
7445,41.25
7446,41.75
7447,41.75
7448,41.3333333333333
7449,41.5
7450,42
7451,42.5
7452,43
7453,43.25
7454,43.25
7455,43.25
7456,43.5
8175,41
8176,41
8177,41
8178,41.5
8179,41.5
8180,41
8181,41
8182,41
8183,41.25
8184,41.25
8185,41
8186,41.25
8187,41.75
8188,42.5
8189,43
8190,43
8191,43
8192,43.25
8193,43.5
8912,41
8913,41
8914,41.25
8915,41.75
8916,41.5
8917,41
8918,41
8919,41
8920,41
8921,41
8922,41
8923,41
8924,41.5
8925,42.25
8926,42.75
8927,43
8928,43
8929,43
8930,43
9649,41
9650,41
9651,41.5
9652,41.75
9653,41.5
9654,41.25
9655,41
9656,41
9657,41
9658,41.25
9659,41.3333333333333
9660,41.5
9661,41.75
9662,42.25
9663,42.75
9664,43
9665,42.75
9666,42.75
9667,43.3333333333333
9668,44
10386,41
10387,41
10388,41.5
10389,41.75
10390,41.75
10391,41.5
10392,41
10393,41
10394,41
10395,41.25
10396,41.6666666666667
10397,42.25
10398,42.5
10399,43
10400,43.25
10401,43
10402,42.5
10403,42.5
10404,43.25
10405,43.5
11122,41
11123,41
11124,41
11125,41.5
11126,42
11127,41.75
11128,41.25
11129,41
11130,41
11131,41
11132,41
11133,41.6666666666667
11134,42.5
11135,43
11136,43.25
11137,43
11138,42.75
11139,42.5
11140,42.5
11141,43
11142,43
11855,39
11856,39
11857,39.6666666666667
11858,40.5
11859,41
11860,41.25
11861,41.5
11862,41.75
11863,42.25
11864,41.75
11865,41
11866,41.25
11867,41.25
11868,41.25
11869,41.25
11870,41.5
11871,42.25
11872,42.75
11873,43
11874,42.5
11875,42.5
11876,42.5
11877,42.5
11878,43
11879,43
12590,38
12591,38.5
12592,39
12593,39
12594,39.6666666666667
12595,40.25
12596,40.75
12597,41.25
12598,41.75
12599,42
12600,42.25
12601,41.75
12602,41
12603,41.25
12604,41.25
12605,41.5
12606,41.5
12607,41.3333333333333
12608,42
12609,42.5
12610,43
12611,42.5
12612,42.5
12613,42.5
12614,42.25
12615,42.75
12616,43
13324,39
13325,39
13326,39
13327,38.4
13328,38.3333333333333
13329,38.8333333333333
13330,39
13331,39.5555555555556
13332,40
13333,40.3333333333333
13334,40.8333333333333
13335,41.1666666666667
13336,41.6666666666667
13337,42
13338,41.5
13339,41
13340,41
13341,41.1666666666667
13342,41.6666666666667
13343,41.5
13344,41.1111111111111
13345,41.6666666666667
13346,42.1666666666667
13347,42.5
13348,42.5
13349,42.6666666666667
13350,42.5
13351,42.3333333333333
13352,42.8333333333333
13353,43
14060,39
14061,38.6666666666667
14062,38.75
14063,39
14064,38.75
14065,38.5
14066,38.75
14067,39
14068,39.3333333333333
14069,40
14070,40.5
14071,40.75
14072,41
14073,41.5
14074,42
14075,41.5
14076,41
14077,41
14078,41.25
14079,41.5
14080,41
14081,40.8333333333333
14082,41.25
14083,41.75
14084,42
14085,42.25
14086,42.75
14087,42.75
14088,42.75
14089,43
14090,43
14795,39
14796,39
14797,39.3333333333333
14798,39
14799,38.75
14800,39
14801,39
14802,39
14803,39
14804,39
14805,39.5
14806,40.5
14807,41
14808,41
14809,41
14810,41.25
14811,41.75
14812,41.75
14813,41.25
14814,41
14815,41
14816,41.25
14817,41
14818,40.6666666666667
14819,41
14820,41.25
14821,41.75
14822,42
14823,42.5
14824,43
14825,43
14826,42.75
14827,42.5
15531,38
15532,38.6666666666667
15533,39
15534,39.25
15535,39.25
15536,38.75
15537,38.5
15538,38.5
15539,38.75
15540,39
15541,39
15542,39.8333333333333
15543,40.75
15544,41
15545,41
15546,41
15547,41
15548,41.5
15549,42
15550,41.5
15551,41
15552,41.25
15553,41.75
15554,41.75
15555,40.8333333333333
15556,41
15557,41.75
15558,42
15559,42
15560,42.25
15561,42.75
15562,42.75
15563,42.25
15564,42
16267,38
16268,38
16269,38.5
16270,39
16271,39
16272,39
16273,38.5
16274,38
16275,38
16276,38.5
16277,39
16278,39
16279,39.6666666666667
16280,40.5
16281,41
16282,41.25
16283,41.5
16284,41.25
16285,41.5
16286,42
16287,41.75
16288,41.5
16289,41.75
16290,42.25
16291,42.25
16292,41.5
16293,41.75
16294,42.5
16295,42.25
16296,42
16297,42
16298,42.5
16299,42.5
16300,42.25
16301,42.5
17004,38
17005,38
17006,38.25
17007,38.5
17008,38.75
17009,39
17010,38.5
17011,38
17012,38.25
17013,38.75
17014,39
17015,39
17016,39.8333333333333
17017,40.75
17018,41
17019,41.25
17020,41.75
17021,41.5
17022,41.25
17023,41.75
17024,42
17025,42
17026,42
17027,42.25
17028,42.5
17029,42.5
17030,42.25
17031,42.25
17032,42
17033,42.25
17034,42.25
17035,42.5
17036,42.75
17037,42.75
17038,43
17740,37
17741,37.6
17742,38
17743,38
17744,38
17745,38.5
17746,39
17747,38.5
17748,38
17749,38.5
17750,39
17751,39
17752,39.25
17753,40
17754,40.75
17755,41
17756,41.25
17757,41.5
17758,41
17759,40.75
17760,41.25
17761,41.75
17762,42
17763,41.75
17764,41.75
17765,42.5
17766,42.8333333333333
17767,42
17768,42.25
17769,42.5
17770,42.75
17771,42.75
17772,42.5
17773,42.75
17774,43
17775,43
18476,38
18477,37.3333333333333
18478,37.3333333333333
18479,38
18480,38
18481,38
18482,38.5
18483,39
18484,38.5
18485,38.25
18486,38.5
18487,38.75
18488,39.25
18489,39.75
18490,40
18491,40.5
18492,41
18493,41.25
18494,41.25
18495,40.75
18496,40.75
18497,41
18498,41.25
18499,41.5
18500,41.25
18501,41.5
18502,42.5
18503,42.6666666666667
18504,42
18505,42.25
18506,42.75
18507,43
18508,42.75
18509,42.25
18510,42.25
18511,43
18512,43.5
19212,38
19213,38
19214,37.75
19215,37.6666666666667
19216,38
19217,38
19218,38
19219,38.25
19220,38.5
19221,38.5
19222,38.75
19223,38.75
19224,39
19225,40
19226,40.25
19227,40.1666666666667
19228,40.75
19229,41
19230,41
19231,41
19232,41
19233,41
19234,41
19235,41
19236,41
19237,41
19238,41.5
19239,42.5
19240,42.6666666666667
19241,42
19242,42
19243,42.25
19244,42.5
19245,42.5
19246,42.25
19247,42
19248,42.75
19249,43.5
19948,37
19949,37.6666666666667
19950,38
19951,38
19952,38
19953,38
19954,38
19955,38
19956,38
19957,38
19958,38.5
19959,39
19960,39.25
19961,39.75
19962,40.25
19963,40.25
19964,40.3333333333333
19965,41
19966,41
19967,41
19968,41
19969,41.25
19970,41.25
19971,40.75
19972,40.75
19973,41
19974,41
19975,41.25
19976,42
19977,42.5
19978,42
19979,42
19980,42
19981,42
19982,42.5
19983,43
19984,42.5
19985,42.25
19986,42.5
20683,37
20684,37.5
20685,37.6666666666667
20686,38
20687,38.25
20688,38
20689,38.1666666666667
20690,38.25
20691,38
20692,38
20693,38
20694,38.25
20695,38.75
20696,39
20697,39.5
20698,39.75
20699,39.5
20700,39.75
20701,40.3333333333333
20702,41
20703,40.75
20704,40.75
20705,41
20706,41.5
20707,41.75
20708,40.75
20709,40.25
20710,40.75
20711,41
20712,41.25
20713,41.75
20714,41.8333333333333
20715,41.75
20716,42
20717,42
20718,42
20719,42.5
20720,43.25
20721,42.75
20722,42
20723,42
21419,38
21420,37.6666666666667
21421,37.5
21422,37.75
21423,38.25
21424,38.25
21425,38
21426,38.3333333333333
21427,38.5
21428,38
21429,38
21430,38
21431,38.25
21432,38.75
21433,39
21434,39.5
21435,39.5
21436,39
21437,39.25
21438,39.8333333333333
21439,40.75
21440,40.5
21441,40.25
21442,40.75
21443,41.25
21444,41.5
21445,41
21446,40.5
21447,40.75
21448,41
21449,41.5
21450,42
21451,41.3333333333333
21452,41.5
21453,42
21454,42
21455,42
21456,42.5
21457,43
21458,42.75
21459,42.5
21460,42.5
22156,37.3333333333333
22157,37.6666666666667
22158,37.8333333333333
22159,37.8333333333333
22160,38
22161,38
22162,38
22163,38.1111111111111
22164,38.1666666666667
22165,37.6666666666667
22166,37.5
22167,37.8333333333333
22168,38
22169,38.3333333333333
22170,38.6666666666667
22171,38.8333333333333
22172,39
22173,39
22174,39.3333333333333
22175,39.7777777777778
22176,40.3333333333333
22177,40.3333333333333
22178,40
22179,40.3333333333333
22180,40.8333333333333
22181,41
22182,41.1666666666667
22183,41.1666666666667
22184,40.6666666666667
22185,40.6666666666667
22186,41.3333333333333
22187,41.6666666666667
22188,41.5555555555556
22189,42
22190,42.3333333333333
22191,42.3333333333333
22192,42.6666666666667
22193,43
22194,43.1666666666667
22195,43.1666666666667
22196,43.3333333333333
22197,43.6666666666667
22893,37
22894,37.5
22895,38
22896,38
22897,38
22898,38
22899,37.75
22900,37.8333333333333
22901,38
22902,37.5
22903,37
22904,37.25
22905,37.75
22906,38.25
22907,38.5
22908,38.25
22909,38.5
22910,39.25
22911,39.75
22912,40
22913,40
22914,40
22915,40
22916,40
22917,40.25
22918,40.75
22919,41.25
22920,41.25
22921,40.5
22922,40.25
22923,41.25
22924,41.5
22925,41.5
22926,42.5
22927,43
22928,43
22929,43
22930,43
22931,43
22932,43.25
22933,43.75
22934,44
23629,37
23630,37
23631,37.5
23632,38
23633,38
23634,38
23635,38
23636,37.75
23637,37.8333333333333
23638,38
23639,37.5
23640,37.25
23641,37.5
23642,38
23643,38.75
23644,38.75
23645,38.25
23646,38.5
23647,39.25
23648,39.75
23649,40
23650,40.25
23651,40.25
23652,40
23653,40
23654,40
23655,40.5
23656,41
23657,41
23658,40.75
23659,40.25
23660,40.75
23661,41.25
23662,41.5
23663,42.5
23664,43
23665,43
23666,42.75
23667,43
23668,43.5
23669,43.5
23670,43.5
23671,43.5
24366,37
24367,37
24368,37.25
24369,37.5
24370,37.5
24371,37.5
24372,37.5
24373,37.5
24374,37.5
24375,37.5
24376,37.25
24377,37.5
24378,38
24379,38.5
24380,38.75
24381,38.25
