"id","w2_1_30"
79,15582
80,15581
81,15628.5
82,15676
83,15625
84,15623.5
85,15671.5
86,15671
814,15789
815,15683
816,15580.3333333333
817,15580.25
818,15628.75
819,15676.5
820,15625.5
821,15651.25
822,15699.5
823,15672
1549,15911
1550,15911
1551,15829.6666666667
1552,15686
1553,15557.25
1554,15579
1555,15627.75
1556,15675.75
1557,15649.5
1558,15675.5
1559,15675.25
1560,15623.5
2285,16045
2286,15956
2287,15880.75
2288,15819.25
2289,15719.6666666667
2290,15581.25
2291,15602.5
2292,15650.5
2293,15674
2294,15672.75
2295,15671.75
2296,15646.75
2297,15622
3020,15793
3021,15852.5
3022,16000.3333333333
3023,15978
3024,15850.25
3025,15788.5
3026,15732.1666666667
3027,15627.25
3028,15626.25
3029,15701.25
3030,15700.5
3031,15672.5
3032,15671.5
3033,15670.5
3034,15670
3755,15499
3756,15623
3757,15749.6
3758,15852.3333333333
3759,15933.6666666667
3760,15932.8333333333
3761,15869.5
3762,15808
3763,15660.6666666667
3764,15612.3333333333
3765,15694.3333333333
3766,15763.6666666667
3767,15745
3768,15708.1666666667
3769,15707.1666666667
3770,15706.1666666667
3771,15705.6666666667
4492,15499.5
4493,15592.5
4494,15739
4495,15852.25
4496,15911.5
4497,15910.5
4498,15849
4499,15787.5
4500,15619.6666666667
4501,15583.25
4502,15728.5
4503,15781.5
4504,15780.5
4505,15779.5
4506,15778.5
4507,15777.5
4508,15777
5228,15590
5229,15559.6666666667
5230,15615.5
5231,15739.75
5232,15822.25
5233,15851
5234,15850
5235,15818.75
5236,15760.5
5237,15602
5238,15559.5
5239,15677.5
5240,15754.5
5241,15780.5
5242,15779.5
5243,15778.5
5244,15777.25
5245,15776.5
5965,15638.5
5966,15638.25
5967,15662.25
5968,15739.75
5969,15765
5970,15763.5
5971,15789.5
5972,15788.5
5973,15733.5
5974,15584
5975,15559.75
5976,15677.75
5977,15754.5
5978,15780.25
5979,15779.25
5980,15751.75
5981,15750.25
5982,15776
6702,15687
6703,15687
6704,15662.25
6705,15688.25
6706,15687
6707,15661.25
6708,15687
6709,15710.25
6710,15706.5
6711,15614.8333333333
6712,15606
6713,15729
6714,15754.75
6715,15753.25
6716,15752.25
6717,15698.25
6718,15723.5
6719,15776
7439,15687
7440,15686.75
7441,15615.5
7442,15568.5
7443,15589.5
7444,15585.75
7445,15584.75
7446,15608.25
7447,15655.5
7448,15661.8333333333
7449,15628.25
7450,15678.25
7451,15701.25
7452,15700
7453,15698.75
7454,15671
7455,15696.75
7456,15723
8175,15688
8176,15655
8177,15616
8178,15546.75
8179,15500
8180,15543.25
8181,15585.75
8182,15585
8183,15584.5
8184,15631.5
8185,15678
8186,15652.5
8187,15651.5
8188,15650.5
8189,15625.5
8190,15648.25
8191,15697.5
8192,15696.75
8193,15670
8912,15640
8913,15615.25
8914,15568
8915,15544.75
8916,15543.75
8917,15565.25
8918,15586.25
8919,15585.25
8920,15584.5
8921,15631.5
8922,15678
8923,15676.5
8924,15675.5
8925,15626.5
8926,15555.75
8927,15602.75
8928,15674
8929,15673
8930,15670
9649,15548
9650,15569.5
9651,15590.5
9652,15589.25
9653,15588
9654,15587.25
9655,15586.5
9656,15585.5
9657,15562.75
9658,15585.75
9659,15646
9660,15628.5
9661,15627.5
9662,15581
9663,15534.25
9664,15602.75
9665,15647.5
9666,15673
9667,15740.3333333333
9668,15775
10386,15504.5
10387,15526
10388,15568.75
10389,15589.5
10390,15588.5
10391,15587.5
10392,15586.5
10393,15563.75
10394,15519.25
10395,15518.25
10396,15583.6666666667
10397,15559.25
10398,15536.5
10399,15514
10400,15534.75
10401,15624.75
10402,15671.5
10403,15697
10404,15722.5
10405,15722
11122,15426
11123,15452
11124,15464.5
11125,15505.5
11126,15568.25
11127,15567
11128,15544.25
11129,15543.25
11130,15500.25
11131,15457.5
11132,15456.75
11133,15511.3333333333
11134,15496.25
11135,15473.5
11136,15492.75
11137,15535.25
11138,15601.25
11139,15647.75
11140,15670.5
11141,15669.5
11142,15669
11855,15433
11856,15432.5
11857,15379.3333333333
11858,15390
11859,15427
11860,15426
11861,15425
11862,15444.25
11863,15505.25
11864,15524
11865,15481.25
11866,15480.25
11867,15459
11868,15418
11869,15417.25
11870,15442.8333333333
11871,15435
11872,15434
11873,15453.5
11874,15515.75
11875,15577.5
11876,15624
11877,15670.5
11878,15645.75
11879,15621.5
12590,15605
12591,15560.5
12592,15461
12593,15432.75
12594,15418.6666666667
12595,15430
12596,15428
12597,15447
12598,15445.75
12599,15405.5
12600,15424.5
12601,15482.75
12602,15462
12603,15441
12604,15440
12605,15439
12606,15458
12607,15443.3333333333
12608,15435.5
12609,15414.75
12610,15414.25
12611,15474.5
12612,15534.75
12613,15579.25
12614,15623.5
12615,15598.75
12616,15574.5
13324,15441
13325,15481.5
13326,15550.6666666667
13327,15590
13328,15591.3333333333
13329,15546.8333333333
13330,15516.8333333333
13331,15514.3333333333
13332,15512.1666666667
13333,15482.6666666667
13334,15494.6666666667
13335,15466.6666666667
13336,15426.1666666667
13337,15451.8333333333
13338,15490.3333333333
13339,15462.8333333333
13340,15421.8333333333
13341,15434.1666666667
13342,15473.1666666667
13343,15498.8333333333
13344,15479.6666666667
13345,15469.6666666667
13346,15442.6666666667
13347,15428.3333333333
13348,15427.1666666667
13349,15452.8333333333
13350,15492.8333333333
13351,15548
13352,15561.1666666667
13353,15546.3333333333
14060,15522
14061,15524.3333333333
14062,15545.75
14063,15587
14064,15631.5
14065,15654
14066,15652
14067,15650.25
14068,15603.3333333333
14069,15555
14070,15532
14071,15489
14072,15448
14073,15427.25
14074,15466.25
14075,15504.75
14076,15463.75
14077,15423
14078,15402.75
14079,15421.75
14080,15501.25
14081,15526.8333333333
14082,15497
14083,15496.5
14084,15475.5
14085,15454.5
14086,15494.75
14087,15535.25
14088,15555.75
14089,15576
14090,15575.5
14795,15612
14796,15527
14797,15495.3333333333
14798,15566
14799,15610
14800,15609.25
14801,15656
14802,15702.5
14803,15727.25
14804,15752.5
14805,15699
14806,15623
14807,15554.5
14808,15470.25
14809,15429.25
14810,15448
14811,15466.75
14812,15485.25
14813,15464.75
14814,15424.25
14815,15384.75
14816,15383.75
14817,15503.5
14818,15556
14819,15518.75
14820,15539.5
14821,15517
14822,15516
14823,15558
14824,15557.25
14825,15535
14826,15534
14827,15533.5
15531,15708
15532,15614.6666666667
15533,15505.25
15534,15482.75
15535,15545
15536,15589
15537,15634.75
15538,15682
15539,15761
15540,15842.25
15541,15837.25
15542,15718.3333333333
15543,15624.25
15544,15555.75
15545,15491.5
15546,15450.25
15547,15468.5
15548,15487
15549,15486
15550,15466
15551,15445.5
15552,15425
15553,15404
15554,15483
15555,15542.1666666667
15556,15540.5
15557,15582.5
15558,15560
15559,15559
15560,15579.5
15561,15536
15562,15492.5
15563,15491.5
15564,15491
16267,15711
16268,15677
16269,15592.25
16270,15504.25
16271,15504.25
16272,15525
16273,15569
16274,15660.5
16275,15708
16276,15819.5
16277,15900.75
16278,15838.75
16279,15703.5
16280,15579.75
16281,15535
16282,15512
16283,15490.5
16284,15489.25
16285,15508
16286,15507
16287,15486.75
16288,15486.25
16289,15485
16290,15463.75
16291,15462.25
16292,15500.8333333333
16293,15540.75
16294,15606
16295,15628.5
16296,15604
16297,15558.25
16298,15495.25
16299,15473.25
16300,15536.5
16301,15580.5
17004,15747
17005,15738.75
17006,15665.25
17007,15593.25
17008,15547.75
17009,15526
17010,15569
17011,15660
17012,15707.5
17013,15789
17014,15840.25
17015,15808.25
17016,15703.1666666667
17017,15579.75
17018,15556.5
17019,15555
17020,15553.5
17021,15552.5
17022,15551.5
17023,15550.5
17024,15528.5
17025,15486.75
17026,15485.75
17027,15504
17028,15462.75
17029,15475.1666666667
17030,15586.25
17031,15653.25
17032,15675.5
17033,15606.25
17034,15496.25
17035,15435
17036,15454
17037,15558.25
17038,15623.5
17740,15618
17741,15716
17742,15816
17743,15762.25
17744,15685.25
17745,15616
17746,15547.75
17747,15567.75
17748,15634.75
17749,15682.25
17750,15757.25
17751,15808.25
17752,15806.5
17753,15702.3333333333
17754,15601
17755,15599.25
17756,15597.75
17757,15596.5
17758,15619
17759,15641.5
17760,15640.5
17761,15594.75
17762,15529.5
17763,15507.5
17764,15484.75
17765,15443.75
17766,15462.8333333333
17767,15610.25
17768,15677.25
17769,15652.5
17770,15542.25
17771,15455.75
17772,15455
